Year;Month;Monthly Mean of Cloud Coverage;Monthly Mean of the daily Airtemperature;Monthly mean of the daily max. of the airtemperature;Monthly mean of the daily min. of the air temperature;Monthly mean of the daily wind force;Monthly max. of the daily max. of the air temperature;Monthly max. of the daily wind peak;Monthly min. of the daily min. of the air temperature;Monthly sum of sunshine duration;Monthly sum of rain fall;Monthly max. of daily rain fall;Hotels;Hotel garni;Inn;Pensions;Youth Hostels;Others
2000;1;6;0;3;-2;4;10;28;-13;64;57;13;76144;9740;1045;3811;2909;1019
2000;2;6;4;7;1;3;15;23;-6;50;60;10;80365;11293;1259;4345;4456;867
2000;3;7;5;8;2;3;15;26;-2;62;113;20;114291;17273;1755;4930;6282;995
2000;4;5;12;17;7;3;27;18;-1;205;23;10;161943;25808;1982;6571;9464;1665
2000;5;4;16;22;10;3;29;17;6;264;27;5;209133;32906;2322;6990;13046;2251
2000;6;5;19;24;13;3;35;24;5;248;30;7;200287;31517;2196;6455;13157;1589
2000;7;6;16;20;13;3;27;18;9;96;66;23;176725;27198;2026;6374;13207;1358
2000;8;5;19;25;14;2;32;17;10;245;48;23;180034;26281;2250;6770;9352;1931
2000;9;5;14;19;11;3;26;17;5;163;50;16;215065;34699;2296;8027;12076;1530
2000;10;6;12;15;9;3;23;19;6;82;49;12;187354;29781;2035;8383;10999;1506
2000;11;6;7;10;5;3;14;18;1;98;32;8;129130;18248;1746;5555;4575;1049
2000;12;6;3;5;1;3;14;21;-7;91;24;9;170392;23333;1894;5775;6121;1269
2001;1;6;1;3;-1;3;12;19;-8;67;22;11;81016;12173;1024;3934;2985;961
2001;2;6;2;5;-1;3;15;21;-13;68;25;8;83674;11977;1415;3893;5452;1446
2001;3;7;4;7;1;3;17;23;-7;71;87;15;126735;19953;1902;4945;10188;1586
2001;4;6;8;12;4;3;24;19;-1;121;46;12;172116;28146;2744;6687;15687;2032
2001;5;5;15;19;9;3;27;18;5;250;64;19;219899;36645;2567;8044;16591;1978
2001;6;6;15;19;10;3;28;19;7;171;74;11;198867;32990;2767;6928;16035;1911
2001;7;5;19;24;13;3;31;27;9;242;67;13;156060;26343;2906;5817;14966;1793
2001;8;5;19;24;15;3;33;17;8;189;49;12;189913;30917;2870;7619;12795;1911
2001;9;7;12;15;9;3;21;22;4;63;102;14;209425;35109;2849;8515;13871;1786
2001;10;5;13;17;10;3;25;21;6;135;25;8;184394;32460;2712;7469;13914;1480
2001;11;6;4;6;1;3;11;23;-4;45;71;22;138417;20086;1981;5333;8480;1092
2001;12;6;-1;1;-4;3;7;27;-13;55;53;10;164276;22954;2246;5719;8020;1289
2002;1;5;1;4;-2;3;14;30;-15;113;26;8;67349;11277;1382;3595;4241;611
2002;2;5;5;9;2;4;17;24;-6;85;48;9;82970;11220;1366;4045;6160;1013
2002;3;6;5;9;1;3;19;27;-4;120;24;8;129199;19775;2609;5931;13191;1518
2002;4;5;8;12;4;3;19;19;-4;150;35;17;163761;23714;3024;6573;14583;1930
2002;5;6;15;20;11;3;26;17;8;212;50;15;211571;36086;4970;9248;17263;2355
2002;6;5;18;22;13;3;32;19;7;207;43;12;186077;30586;3981;7753;15886;2142
2002;7;5;19;24;14;3;33;27;10;189;38;10;163541;27425;3812;6949;14258;2367
2002;8;5;20;25;16;2;29;19;13;234;233;158;110878;22188;2763;5531;10371;1521
2002;9;5;14;18;9;2;26;16;2;139;44;11;99174;29771;2940;6380;11585;1550
2002;10;6;8;12;5;3;18;31;-1;84;82;16;119070;25759;2976;8051;12659;1612
2002;11;6;5;8;2;3;16;20;-5;60;120;28;99833;21155;2244;5873;7297;1303
2002;12;6;-2;0;-4;3;8;17;-11;60;48;20;123737;22839;2363;5484;7912;1183
2003;1;6;-1;2;-4;3;10;22;-19;53;56;16;55689;11878;1843;3753;4517;1228
2003;2;4;-2;1;-6;3;11;13;-13;133;7;2;64019;11960;1715;4122;6450;1061
2003;3;5;5;9;1;3;18;20;-5;172;28;10;110256;19253;2234;5536;9220;1325
2003;4;4;9;14;3;3;23;20;-5;225;13;5;128229;26461;2971;7387;12279;1555
2003;5;5;15;21;10;3;28;20;3;228;43;20;199853;39191;3825;9095;15516;1904
2003;6;4;20;26;14;2;32;22;10;297;22;5;170603;32738;3713;7319;14708;1912
2003;7;5;20;25;15;2;34;16;10;218;109;31;165871;26751;3230;6897;14183;2486
2003;8;4;21;27;15;2;36;16;10;277;10;3;185129;30632;3606;7676;13683;1936
2003;9;4;15;21;10;3;30;21;4;194;30;8;199707;39372;3823;7530;14844;1933
2003;10;5;6;9;3;3;17;18;-5;101;35;7;186154;33324;4494;7711;14778;1767
2003;11;5;6;9;4;3;13;17;-2;121;32;9;131438;23675;3098;5434;7333;1345
2003;12;5;2;5;-1;3;12;23;-9;86;40;16;167940;24573;3159;5636;7342;1206
2004;1;6;-2;1;-5;3;8;23;-15;51;67;10;75001;11941;2241;3863;4253;2338
2004;2;6;2;5;0;4;16;25;-7;45;32;11;80595;11061;2360;4777;6359;2365
2004;3;5;4;8;1;3;20;26;-6;121;28;7;121857;19545;2669;5671;10421;2942
2004;4;5;10;15;5;3;23;18;1;178;19;4;158045;24267;3654;6453;12801;3616
2004;5;6;12;16;7;2;23;17;2;133;84;24;206173;34538;4320;8234;16649;4108
2004;6;6;16;20;11;3;26;17;7;186;46;10;199592;34476;4340;8222;16487;3812
2004;7;5;18;23;13;3;31;21;9;224;78;18;184761;28457;4654;6706;16629;3345
2004;8;4;20;25;15;3;31;18;8;226;39;13;204306;33106;5092;7556;15546;4538
2004;9;4;15;19;10;3;26;23;6;196;56;17;219735;37019;4687;8114;17713;5121
2004;10;5;11;15;7;3;26;18;-2;144;43;13;213313;36110;3946;7743;15831;4128
2004;11;7;4;7;2;3;15;23;-3;33;98;22;146667;22563;2592;5830;8531;3496
2004;12;6;1;4;-1;3;10;19;-7;65;30;14;190899;25961;3109;6361;9434;4814
2005;1;6;2;4;0;4;15;26;-7;42;67;22;88334;14183;1568;3904;5434;3285
2005;2;6;-2;1;-4;3;11;22;-11;63;39;16;91582;14263;1560;3758;6351;4117
2005;3;6;3;7;-1;3;18;23;-9;159;22;7;143223;21543;2511;5444;13939;4837
